source,intel_type,title,description,latitude,longitude,timestamp
Manual Upload,IMINT,IMINT Node 1,Large dataset record for stress testing dashboard.,28.722113,77.423664,2026-01-01T00:00:00Z
Manual Upload,IMINT,IMINT Node 2,Large dataset record for stress testing dashboard.,28.616889,77.227521,2026-01-01T00:10:00Z
Manual Upload,IMINT,IMINT Node 3,Large dataset record for stress testing dashboard.,28.910079,77.276478,2026-01-01T00:20:00Z
Manual Upload,IMINT,IMINT Node 4,Large dataset record for stress testing dashboard.,28.431897,77.370827,2026-01-01T00:30:00Z
Manual Upload,IMINT,IMINT Node 5,Large dataset record for stress testing dashboard.,28.794068,77.181972,2026-01-01T00:40:00Z
Manual Upload,HUMINT,HUMINT Node 6,Large dataset record for stress testing dashboard.,28.668485,77.083116,2026-01-01T00:50:00Z
Manual Upload,HUMINT,HUMINT Node 7,Large dataset record for stress testing dashboard.,28.340608,77.108563,2026-01-01T01:00:00Z
OSINT-MOCK,OSINT,OSINT Node 8,Large dataset record for stress testing dashboard.,28.667492,77.488051,2026-01-01T01:10:00Z
Manual Upload,HUMINT,HUMINT Node 9,Large dataset record for stress testing dashboard.,28.598611,77.435941,2026-01-01T01:20:00Z
OSINT-MOCK,OSINT,OSINT Node 10,Large dataset record for stress testing dashboard.,28.862363,77.274256,2026-01-01T01:30:00Z
OSINT-MOCK,OSINT,OSINT Node 11,Large dataset record for stress testing dashboard.,28.867754,77.409881,2026-01-01T01:40:00Z
Manual Upload,IMINT,IMINT Node 12,Large dataset record for stress testing dashboard.,28.583463,77.08917,2026-01-01T01:50:00Z
Manual Upload,IMINT,IMINT Node 13,Large dataset record for stress testing dashboard.,28.825199,77.399042,2026-01-01T02:00:00Z
Manual Upload,HUMINT,HUMINT Node 14,Large dataset record for stress testing dashboard.,28.856528,77.061485,2026-01-01T02:10:00Z
OSINT-MOCK,OSINT,OSINT Node 15,Large dataset record for stress testing dashboard.,28.316471,77.046533,2026-01-01T02:20:00Z
Manual Upload,HUMINT,HUMINT Node 16,Large dataset record for stress testing dashboard.,28.885105,77.17855,2026-01-01T02:30:00Z
OSINT-MOCK,OSINT,OSINT Node 17,Large dataset record for stress testing dashboard.,28.31525,76.937658,2026-01-01T02:40:00Z
Manual Upload,IMINT,IMINT Node 18,Large dataset record for stress testing dashboard.,28.795335,77.073181,2026-01-01T02:50:00Z
Manual Upload,IMINT,IMINT Node 19,Large dataset record for stress testing dashboard.,28.87785,76.918806,2026-01-01T03:00:00Z
