source,intel_type,title,description,latitude,longitude,timestamp
Manual Upload,HUMINT,Field Report 1,Ground report from field asset with directional notes.,28.675635,77.429071,2026-01-01T00:07:00Z
Manual Upload,HUMINT,Field Report 2,Ground report from field asset with directional notes.,28.383906,77.315381,2026-01-01T00:27:00Z
Manual Upload,HUMINT,Field Report 3,Ground report from field asset with directional notes.,28.705337,77.078555,2026-01-01T00:47:00Z
Manual Upload,HUMINT,Field Report 4,Ground report from field asset with directional notes.,28.862405,77.262439,2026-01-01T01:07:00Z
Manual Upload,HUMINT,Field Report 5,Ground report from field asset with directional notes.,28.842908,77.24245,2026-01-01T01:27:00Z
Manual Upload,HUMINT,Field Report 6,Ground report from field asset with directional notes.,28.861102,77.007703,2026-01-01T01:47:00Z
Manual Upload,HUMINT,Field Report 7,Ground report from field asset with directional notes.,28.371371,77.342159,2026-01-01T02:07:00Z
Manual Upload,HUMINT,Field Report 8,Ground report from field asset with directional notes.,28.518671,77.392767,2026-01-01T02:27:00Z
Manual Upload,HUMINT,Field Report 9,Ground report from field asset with directional notes.,28.762592,77.406567,2026-01-01T02:47:00Z
Manual Upload,HUMINT,Field Report 10,Ground report from field asset with directional notes.,28.613356,77.186404,2026-01-01T03:07:00Z
Manual Upload,HUMINT,Field Report 11,Ground report from field asset with directional notes.,28.448759,77.106804,2026-01-01T03:27:00Z
Manual Upload,HUMINT,Field Report 12,Ground report from field asset with directional notes.,28.397981,77.247256,2026-01-01T03:47:00Z
Manual Upload,HUMINT,Field Report 13,Ground report from field asset with directional notes.,28.540584,76.994567,2026-01-01T04:07:00Z
Manual Upload,HUMINT,Field Report 14,Ground report from field asset with directional notes.,28.719228,77.189371,2026-01-01T04:27:00Z
Manual Upload,HUMINT,Field Report 15,Ground report from field asset with directional notes.,28.856972,77.448242,2026-01-01T04:47:00Z
Manual Upload,HUMINT,Field Report 16,Ground report from field asset with directional notes.,28.745473,77.180023,2026-01-01T05:07:00Z
Manual Upload,HUMINT,Field Report 17,Ground report from field asset with directional notes.,28.82598,77.428915,2026-01-01T05:27:00Z
Manual Upload,HUMINT,Field Report 18,Ground report from field asset with directional notes.,28.84974,77.203129,2026-01-01T05:47:00Z
Manual Upload,HUMINT,Field Report 19,Ground report from field asset with directional notes.,28.545636,77.102313,2026-01-01T06:07:00Z
Manual Upload,HUMINT,Field Report 20,Ground report from field asset with directional notes.,28.568417,77.268842,2026-01-01T06:27:00Z
Manual Upload,HUMINT,Field Report 21,Ground report from field asset with directional notes.,28.704192,77.179414,2026-01-01T06:47:00Z
